id,session,genu,bodyCC,splenium,fornix,RantLimbIC,LantLimbIC,RpostLimbIC,LpostLimbIC,RretroLenticularIC,LretroLenticularIC,RantCoronaRad,LantCoronaRad,RsupCoronaRad,LsupCoronaRad,RpostCoronaRad,LpostCoronaRad,RpostThalRad,LpostThalRad,RSagStratum,LSagStratum,REC,LEC,Rcing,Lcing,RhippCing,LhippCing,RsupLongFasc,LsupLongFasc,Runcinate,Luncinate
PH_001,F0,0.00159,0.0015586,0.001561,0.0018285,0.0013437,0.0012669,0.001421,0.0014113,0.0013187,0.0013127,0.0012569,0.0012627,0.0012172,0.0012469,0.0012178,0.0011971,0.0014228,0.0013661,0.0013257,0.0013299,0.0011873,0.0011619,0.0012126,0.0011945,0.0011807,0.0012098,0.0011642,0.001174,0.0012932,0.0012557
PH_002,F0,0.0016538,0.0016962,0.0016753,0.0023638,0.0013855,0.0013777,0.0014175,0.0014547,0.0013074,0.0013745,0.0013442,0.0013144,0.0012204,0.0012287,0.0013133,0.0013481,0.0013874,0.001407,0.0013368,0.0013982,0.0011953,0.001187,0.0011767,0.0012212,0.0010983,0.0012308,0.001155,0.0012163,0.0013146,0.0012675
PH_003,F0,0.0015344,0.0016166,0.0016194,0.0018264,0.0012995,0.0012559,0.0013608,0.0013569,0.001296,0.0012858,0.0011888,0.0011729,0.0011452,0.0011757,0.0012096,0.0012345,0.0014043,0.0013716,0.001335,0.0013141,0.0011567,0.0011603,0.0011294,0.0011958,0.0011442,0.0011487,0.0011114,0.001147,0.0011927,0.0012195
PH_004,F0,0.0016115,0.0017013,0.0016082,0.0023399,0.0013464,0.0013727,0.0013893,0.0014133,0.0013048,0.0013819,0.0012635,0.0012909,0.0011718,0.0012002,0.0011974,0.0012093,0.0013327,0.0013917,0.0013237,0.0013636,0.0012094,0.0011976,0.0011569,0.001212,0.0011557,0.0011701,0.0011656,0.0012145,0.0012266,0.0012265
PH_005,F0,0.0015692,0.0017173,0.0016501,0.0024189,0.0013839,0.0013256,0.0014591,0.0015347,0.0012932,0.0013132,0.0011776,0.00121,0.0011721,0.0011987,0.0012136,0.0011988,0.0013045,0.0013755,0.0012409,0.0013085,0.0011816,0.0012206,0.0011309,0.0011548,0.0011931,0.0011133,0.0010973,0.0011289,0.0012394,0.0011982
PH_006,F0,0.0015995,0.00161,0.0016179,0.0023674,0.0013908,0.0013362,0.0014714,0.0014751,0.001315,0.0013479,0.0013103,0.0012641,0.0012469,0.001263,0.0013043,0.0013011,0.0013332,0.0014714,0.0012167,0.0013185,0.0011684,0.0011481,0.0011599,0.0012824,0.0011518,0.0011954,0.001186,0.0012493,0.0011685,0.0011634
PH_007,F0,0.0015943,0.001603,0.0016021,0.0022368,0.001299,0.0013118,0.0014102,0.0014728,0.0012821,0.0012932,0.0012301,0.0012383,0.001181,0.0011991,0.001277,0.0012402,0.001344,0.001345,0.001284,0.0012295,0.0012097,0.0012061,0.0011287,0.0011268,0.0011247,0.0011457,0.0011208,0.0011369,0.0012134,0.0012117
PH_008,F0,0.0016303,0.0016701,0.0015756,0.0024888,0.001354,0.0013554,0.0014556,0.0014737,0.0012898,0.0013218,0.0012784,0.0012537,0.001158,0.0012636,0.0012108,0.001226,0.0014014,0.0013666,0.0013002,0.0012727,0.0011812,0.0011816,0.0011572,0.0012087,0.0011821,0.0012194,0.0011387,0.0011444,0.001197,0.0012048
PH_009,F0,0.0015216,0.0016652,0.0015431,0.0021022,0.0013108,0.0013002,0.0013678,0.0014619,0.0013053,0.001374,0.0012323,0.0012465,0.0012314,0.0012182,0.0012174,0.001211,0.0013063,0.0013798,0.0012517,0.0012936,0.0011868,0.0011878,0.0011641,0.0012345,0.0010841,0.0011045,0.0011217,0.0011586,0.0012267,0.0012
PH_101,F0,0.0015217,0.0016101,0.0015656,0.0019891,0.0012756,0.0012661,0.0013636,0.0013487,0.0012647,0.0012872,0.001197,0.0011928,0.0011297,0.0011406,0.0011835,0.0012121,0.0013137,0.0013232,0.0012872,0.0012949,0.0011753,0.0011699,0.0011108,0.0011732,0.0011266,0.0011316,0.0011041,0.0011365,0.001223,0.0012031
PH_102,F0,0.0016613,0.0016717,0.0015695,0.0024627,0.0013234,0.0012998,0.0013745,0.0013315,0.0012738,0.001278,0.0011668,0.0011554,0.0011417,0.0011755,0.0012166,0.0011835,0.0013512,0.0013564,0.0012286,0.0013092,0.0011644,0.0011666,0.0011022,0.0011622,0.0011601,0.0011819,0.0010818,0.0011145,0.0012137,0.0011227
PH_103,F0,0.0015973,0.001651,0.0015348,0.0022535,0.0013303,0.0013333,0.0014194,0.0014335,0.0012717,0.0012936,0.0012508,0.0012974,0.0011958,0.0012063,0.0012034,0.0012088,0.001364,0.0014024,0.001251,0.0012998,0.0012569,0.0012913,0.0011584,0.0012,0.0011741,0.0011306,0.0011337,0.0011932,0.0012419,0.0012341
PH_104,F0,0.0016415,0.0017034,0.0015742,0.0025347,0.0013334,0.0013811,0.0014131,0.0015312,0.001257,0.0013673,0.0012358,0.0012427,0.0012291,0.0012843,0.0012358,0.0013068,0.0013371,0.0013855,0.0012651,0.001306,0.0011812,0.0012063,0.0011152,0.0011524,0.001095,0.0011295,0.0011436,0.00119,0.0012512,0.0012589
PH_105,F0,0.0015719,0.0016931,0.0016256,0.0020814,0.0013661,0.0013296,0.0014331,0.0014454,0.0012314,0.0012658,0.0012558,0.001199,0.0012192,0.0012278,0.0012598,0.0013281,0.001429,0.0015355,0.0013545,0.0013829,0.0011684,0.0011821,0.0011556,0.0011697,0.0010858,0.0011052,0.0011086,0.0011479,0.0012348,0.001229
PH_106,F0,0.0016831,0.0016675,0.0016465,0.0023086,0.00132,0.0013381,0.0013416,0.0013653,0.0012926,0.0013244,0.0012391,0.0012829,0.0011661,0.0012075,0.0012153,0.0012027,0.0014197,0.0014069,0.0013189,0.0013848,0.0011652,0.0011925,0.0011191,0.0011924,0.00109,0.0011861,0.0011481,0.0011771,0.0011526,0.0011635
PH_107,F0,0.001539,0.0016512,0.0016331,0.0023172,0.0013005,0.0012921,0.0013782,0.0013774,0.0012472,0.001255,0.0012271,0.0012112,0.0011682,0.0011612,0.0012694,0.0012381,0.0013953,0.0013969,0.0012461,0.001283,0.0011493,0.0011193,0.0011363,0.0011663,0.0011095,0.0010621,0.0011163,0.0011047,0.0011817,0.0011463
PH_108,F0,0.001575,0.0016281,0.0015677,0.0027779,0.0012857,0.0012573,0.0014317,0.0014098,0.0012813,0.0013117,0.001204,0.0011671,0.0012141,0.0012664,0.0012617,0.001256,0.0013184,0.001321,0.001237,0.0012914,0.0011443,0.0011822,0.0011143,0.0011071,0.0010902,0.0010756,0.0010819,0.0010835,0.0012022,0.0012146
PH_109,F0,0.0016887,0.0016273,0.0016958,0.0027536,0.0014004,0.0013641,0.0015027,0.0015542,0.0013156,0.0013463,0.0012382,0.0012651,0.0011951,0.0012055,0.0012472,0.0012748,0.0014312,0.001509,0.0013128,0.0013636,0.0011636,0.0011942,0.0011669,0.0011694,0.0010722,0.0011684,0.0011339,0.0011949,0.0012677,0.0013035
PH_110,F0,0.0016298,0.0016418,0.0016855,0.001944,0.0013399,0.0013043,0.001407,0.0015005,0.0012889,0.0012963,0.0012419,0.0012551,0.0011782,0.0012041,0.0012255,0.0012658,0.0013625,0.0014123,0.0012884,0.0012804,0.0011816,0.0011832,0.001189,0.0011888,0.0012102,0.0012141,0.0010992,0.0011603,0.001259,0.0012703
PH_111,F0,0.0015734,0.0016267,0.0015042,0.001983,0.0012794,0.0012549,0.0013496,0.0014024,0.0012381,0.0013235,0.0012394,0.0012186,0.0012078,0.0012101,0.0012273,0.001227,0.0013274,0.0013328,0.0012788,0.0012778,0.0011601,0.0011456,0.0011378,0.0012446,0.0011766,0.0011468,0.0011038,0.0011653,0.0012063,0.0011766
PH_001,F1,0.0016359,0.0016019,0.0015732,0.0019042,0.0013126,0.0012838,0.0014467,0.0014386,0.0013077,0.001351,0.0012679,0.0012696,0.0012225,0.00124,0.0011961,0.0011977,0.0013862,0.0014331,0.0012932,0.0013766,0.0012054,0.0011922,0.0012065,0.0012344,0.0011673,0.0012029,0.0011533,0.0012091,0.0012898,0.0013005
PH_002,F1,0.001663,0.0017673,0.0017586,0.0023804,0.0014064,0.001372,0.0014507,0.0014908,0.0013469,0.0013741,0.0013595,0.0013334,0.0012365,0.0012541,0.0013291,0.0013797,0.0014046,0.0014281,0.0013784,0.0014289,0.0012034,0.0011991,0.001192,0.0012281,0.0011731,0.0012845,0.0011887,0.0011966,0.0013497,0.0013125
PH_003,F1,0.0015972,0.0016137,0.0015904,0.0018005,0.0013161,0.0012679,0.0013724,0.0013303,0.0013009,0.0012942,0.001213,0.0011997,0.0011236,0.00114,0.0011911,0.0012126,0.0013862,0.0013778,0.0013117,0.0013232,0.0011359,0.0011485,0.0011207,0.0012018,0.0010835,0.0010882,0.0011069,0.0011617,0.0012295,0.0012616
PH_004,F1,0.0015494,0.0016812,0.0016168,0.0022661,0.0013315,0.0012707,0.0013744,0.0013942,0.0012385,0.0013912,0.0012421,0.0012809,0.00113,0.001196,0.0011741,0.0012166,0.0013298,0.0014271,0.0013009,0.0013273,0.0011794,0.0012048,0.0011527,0.0012637,0.0011326,0.0011766,0.0011485,0.0012152,0.0012038,0.0011855
PH_005,F1,0.0016428,0.0016791,0.0017109,0.0023063,0.0013801,0.0013593,0.0014606,0.0015215,0.0013018,0.0013142,0.0012043,0.0012327,0.0011738,0.001212,0.0011982,0.0012166,0.0013315,0.0013938,0.0011998,0.0012949,0.0011678,0.0012099,0.0011386,0.0011564,0.0011875,0.0010938,0.0010919,0.001123,0.0011879,0.001175
PH_006,F1,0.0015817,0.0016227,0.0016472,0.0022691,0.001371,0.0013003,0.0015001,0.0014786,0.001342,0.0013459,0.0012898,0.001227,0.001236,0.0012482,0.0013124,0.0012966,0.0013714,0.0014304,0.0012189,0.0013225,0.0011622,0.0011544,0.0011459,0.0012155,0.0011743,0.0011921,0.0011737,0.0011963,0.0011627,0.0011578
PH_007,F1,0.001618,0.001671,0.001609,0.0022163,0.0012931,0.0012575,0.0014177,0.0013914,0.0012471,0.0013046,0.0012401,0.0012175,0.0011619,0.0011597,0.0012348,0.0012469,0.0013027,0.001401,0.0012892,0.0012922,0.0011927,0.0012159,0.0011072,0.0011433,0.001111,0.0011703,0.001073,0.0011519,0.0012111,0.0011548
PH_008,F1,0.0016371,0.0016496,0.0015697,0.0024509,0.0013867,0.0013307,0.0014491,0.001425,0.001253,0.0013581,0.001289,0.0012692,0.0011669,0.0012812,0.0011852,0.0012646,0.0013683,0.0014041,0.0013079,0.0012938,0.0011779,0.0011899,0.0011717,0.0012776,0.0011681,0.0011964,0.001119,0.001214,0.0011969,0.0012101
PH_009,F1,0.0015658,0.0016272,0.0015623,0.0020122,0.001322,0.0013022,0.0013774,0.0013898,0.0013019,0.0014041,0.0012408,0.001252,0.0012052,0.0011707,0.0012175,0.0012266,0.0012924,0.0013807,0.0012391,0.0013271,0.0011671,0.0011735,0.0011838,0.0011895,0.0010539,0.0011057,0.0011184,0.0011777,0.0012166,0.0012268
PH_101,F1,0.0015321,0.001534,0.0015389,0.0019018,0.0012563,0.0012695,0.0013821,0.0013121,0.0012498,0.0012744,0.0011971,0.001192,0.0011332,0.0011349,0.0011725,0.0011814,0.0013517,0.0013612,0.0012776,0.0013189,0.0011752,0.0011547,0.0011086,0.0011345,0.0011472,0.0012304,0.0011117,0.0011398,0.001272,0.0012545
PH_102,F1,0.0015456,0.001615,0.0015132,0.0022579,0.0012519,0.0012377,0.0013284,0.0012923,0.0012455,0.0012684,0.0011324,0.0011104,0.0011533,0.0011365,0.0011963,0.0011514,0.0013359,0.0013353,0.0012155,0.0013177,0.0011549,0.001159,0.0010821,0.0011533,0.0011355,0.0011606,0.0010981,0.0011435,0.0011353,0.0011245
PH_103,F1,0.0016534,0.0016667,0.0015572,0.002281,0.0013517,0.0013723,0.0014104,0.0014045,0.0012968,0.0013135,0.0012781,0.0012936,0.0012099,0.0012257,0.0012356,0.0012246,0.0013612,0.0014226,0.0012609,0.0013054,0.001265,0.0012961,0.0011558,0.0012173,0.0011812,0.0011573,0.0011351,0.0012083,0.0012215,0.0012661
PH_104,F1,0.0016073,0.0017233,0.0015791,0.0024465,0.0013783,0.0013511,0.0014111,0.0014697,0.0011952,0.0013742,0.0012458,0.0012598,0.0012363,0.0012926,0.0012143,0.0013272,0.0013041,0.0014198,0.001235,0.0013423,0.0011847,0.0012126,0.0011439,0.0012208,0.0010783,0.0011006,0.0011238,0.0012201,0.0012884,0.0012451
PH_105,F1,0.0015897,0.0016826,0.0016552,0.0020418,0.0013277,0.0012607,0.0014308,0.0014068,0.0012353,0.001249,0.0012468,0.0011754,0.0012205,0.0011848,0.0012746,0.0013569,0.0014207,0.0015742,0.001362,0.0013507,0.0011552,0.0011304,0.0011646,0.0011626,0.0011158,0.0010925,0.0011002,0.0011566,0.0012476,0.001221
PH_106,F1,0.0015946,0.0016333,0.0016057,0.0022376,0.0012962,0.001279,0.0013315,0.0013617,0.00129,0.0013259,0.001229,0.0012666,0.0011389,0.001207,0.0011981,0.0011886,0.0013936,0.0014102,0.0012982,0.0013925,0.0011597,0.0012134,0.0011047,0.0011881,0.0010719,0.0011732,0.0011133,0.0011913,0.0011577,0.0011797
PH_107,F1,0.0015459,0.0016143,0.0016106,0.0023262,0.0012991,0.0012722,0.0014261,0.0014007,0.0012288,0.0012764,0.0012282,0.0012097,0.0011648,0.0011569,0.0012766,0.0012641,0.0013815,0.0014043,0.0012406,0.0012976,0.0011257,0.0011424,0.0011276,0.0011643,0.0010991,0.0010727,0.0011007,0.001116,0.0011445,0.0011574
PH_108,F1,0.0015971,0.0017247,0.001602,0.0027276,0.0012792,0.001232,0.0014578,0.0014186,0.0012902,0.0012685,0.0011903,0.0011432,0.001191,0.0012633,0.0012655,0.0012879,0.0013215,0.001369,0.0012498,0.0012884,0.0011657,0.001179,0.001172,0.0011687,0.0011594,0.0011746,0.0010701,0.0011612,0.0011632,0.0012354
PH_109,F1,0.0017291,0.0016528,0.0017281,0.0028014,0.0013917,0.0013374,0.001487,0.0015073,0.0013049,0.0013332,0.0012452,0.0012544,0.0011827,0.0012001,0.001261,0.001285,0.0014298,0.0014939,0.0013068,0.0013474,0.0011542,0.0011679,0.0011577,0.0011992,0.0010746,0.001151,0.0011302,0.0011752,0.0012721,0.0012941
PH_110,F1,0.001598,0.0015938,0.0016007,0.0018755,0.0013044,0.0012744,0.0013779,0.0013836,0.001248,0.0012564,0.0012134,0.0012688,0.001142,0.0011479,0.0011917,0.0012484,0.0013573,0.0014503,0.0012598,0.0012709,0.0011386,0.0011635,0.0011548,0.0011852,0.0011274,0.00119,0.0010748,0.0011489,0.0012279,0.0012186
