id,session,genu,bodyCC,splenium,fornix,RantLimbIC,LantLimbIC,RpostLimbIC,LpostLimbIC,RretroLenticularIC,LretroLenticularIC,RantCoronaRad,LantCoronaRad,RsupCoronaRad,LsupCoronaRad,RpostCoronaRad,LpostCoronaRad,RpostThalRad,LpostThalRad,RSagStratum,LSagStratum,REC,LEC,Rcing,Lcing,RhippCing,LhippCing,RsupLongFasc,LsupLongFasc,Runcinate,Luncinate
PH_001,F0,0.0008234,0.0009005,0.00080003,0.0011998,0.00078927,0.00077118,0.00077668,0.00077321,0.00080485,0.00079596,0.00078711,0.00078728,0.00077022,0.0007727,0.00079027,0.00079028,0.00082022,0.00082006,0.00083147,0.00083993,0.00082279,0.00080133,0.00076725,0.00077028,0.00078862,0.00081006,0.00075949,0.00076704,0.0008328,0.00080516
PH_002,F0,0.00092373,0.0010667,0.00086787,0.001736,0.00083114,0.00082685,0.00079049,0.00080448,0.00085917,0.00088136,0.00087383,0.0008681,0.00083204,0.00083143,0.00091292,0.00094726,0.00084877,0.00089688,0.00089287,0.00093835,0.00086323,0.00084474,0.00083026,0.00085315,0.00079786,0.00086436,0.000815,0.00083392,0.00084123,0.00083799
PH_003,F0,0.00083972,0.0010099,0.00081255,0.0012317,0.00080677,0.0008043,0.00078039,0.00079419,0.00081157,0.00081223,0.00079724,0.00078535,0.00078172,0.00081384,0.00081927,0.00084501,0.00083562,0.00082292,0.0008448,0.00085995,0.00082968,0.0008212,0.00078783,0.00082542,0.00082311,0.00086849,0.00077201,0.00077837,0.00082224,0.00080745
PH_004,F0,0.00092566,0.0010776,0.00083331,0.0016605,0.00084848,0.00087965,0.00078576,0.00081748,0.00081621,0.00086081,0.00086602,0.00087043,0.00080184,0.00081785,0.00079328,0.0008331,0.00082625,0.000871,0.00086742,0.0009013,0.00087667,0.00084267,0.00082035,0.00084883,0.00087081,0.00089873,0.00079835,0.00081172,0.0008176,0.00081954
PH_005,F0,0.00085378,0.0010837,0.00081834,0.0018461,0.00082215,0.00080002,0.00076988,0.0008119,0.00076077,0.00079658,0.00075423,0.00075832,0.00077498,0.00079458,0.00078701,0.00079521,0.00077034,0.00082027,0.00080971,0.00083299,0.00082902,0.00084427,0.00076187,0.0007958,0.00087725,0.00082116,0.00072363,0.00074754,0.00080516,0.00079673
PH_006,F0,0.00085911,0.00097478,0.00082458,0.0016484,0.00084927,0.00083421,0.00078634,0.00080297,0.00079886,0.00081287,0.00084527,0.00083905,0.00080752,0.00081525,0.00083617,0.00086095,0.00079175,0.00086676,0.00080753,0.00083581,0.00083552,0.00081832,0.00081077,0.00083005,0.00079869,0.00080033,0.00078211,0.0007855,0.00080252,0.00080176
PH_007,F0,0.00087811,0.0010331,0.00081738,0.0016224,0.00082598,0.00082652,0.00077698,0.00078242,0.00079947,0.00080097,0.00083654,0.00083374,0.00078229,0.00079029,0.00083798,0.00084181,0.00081965,0.00084956,0.00082031,0.00082525,0.00085523,0.00084718,0.00077942,0.00078364,0.00080632,0.00081762,0.00074713,0.00075242,0.00079518,0.00077469
PH_008,F0,0.00087415,0.0010115,0.00077741,0.0019005,0.00084123,0.00084349,0.00078729,0.00081288,0.000835,0.00085341,0.00084918,0.00084182,0.00078429,0.00082972,0.00078164,0.00081376,0.00081013,0.00082562,0.0008456,0.00087847,0.00086676,0.00087333,0.00080175,0.0008155,0.00083604,0.0009122,0.00075276,0.00077825,0.00083684,0.00083569
PH_009,F0,0.00086045,0.0010507,0.00079194,0.0014572,0.00083625,0.00081885,0.00080098,0.00081902,0.00081478,0.00086136,0.00082785,0.00083916,0.00083398,0.00082943,0.00082879,0.00083147,0.00081432,0.00084812,0.00083333,0.00086403,0.00085407,0.00085405,0.00082386,0.00086771,0.00082964,0.00088553,0.00077047,0.00077486,0.00083506,0.00083646
PH_101,F0,0.00084388,0.0010201,0.00079902,0.0013519,0.00082462,0.00082089,0.00077117,0.00077475,0.00080521,0.0008123,0.00082502,0.00081647,0.00078667,0.00079992,0.00081459,0.00084825,0.00082492,0.00084744,0.0008278,0.00084401,0.00083119,0.00083117,0.00077178,0.00081128,0.00083325,0.00087133,0.00077899,0.0007939,0.00079377,0.00078118
PH_102,F0,0.00095278,0.001066,0.00079992,0.0018145,0.00080989,0.00083423,0.00078955,0.00078863,0.00080995,0.00081435,0.00079897,0.00081438,0.00077481,0.00080295,0.00078207,0.00078375,0.00082262,0.00083978,0.00082256,0.00085389,0.00083406,0.00083548,0.00076975,0.0008128,0.00081488,0.00082588,0.00075477,0.00076155,0.00083924,0.0007872
PH_103,F0,0.00089783,0.0010427,0.0007776,0.001557,0.00082502,0.00081431,0.00076548,0.00078214,0.00080483,0.000854,0.00083283,0.00084427,0.00079126,0.0008013,0.00078302,0.0007985,0.00083861,0.00085367,0.00084801,0.00087108,0.00090505,0.00091778,0.00081002,0.00082302,0.00087976,0.00088983,0.0007601,0.00078072,0.00083687,0.00081644
