id,session,genu,bodyCC,splenium,fornix,RantLimbIC,LantLimbIC,RpostLimbIC,LpostLimbIC,RretroLenticularIC,LretroLenticularIC,RantCoronaRad,LantCoronaRad,RsupCoronaRad,LsupCoronaRad,RpostCoronaRad,LpostCoronaRad,RpostThalRad,LpostThalRad,RSagStratum,LSagStratum,REC,LEC,Rcing,Lcing,RhippCing,LhippCing,RsupLongFasc,LsupLongFasc,Runcinate,Luncinate
PH_001,F0,0.0004401,0.00057144,0.00041954,0.00088539,0.00051207,0.0005233,0.0004545,0.00045417,0.00054794,0.00053758,0.0005522,0.00054959,0.00054673,0.0005356,0.00057651,0.00058684,0.00051892,0.00054704,0.00058435,0.00059494,0.00064054,0.00062103,0.00054457,0.0005582,0.0005926,0.00061021,0.00055713,0.00056354,0.00060261,0.00057987
PH_002,F0,0.00055868,0.0007519,0.00046415,0.0014221,0.00055398,0.0005514,0.00047698,0.00047936,0.00063506,0.00063478,0.00063867,0.00064495,0.00063788,0.00063279,0.00071275,0.00074683,0.00057944,0.00064185,0.00067088,0.00070843,0.0006972,0.00067364,0.00065701,0.00066911,0.00064763,0.00068116,0.00064499,0.00064272,0.00060451,0.00062323
PH_003,F0,0.00049239,0.0007066,0.00040914,0.00093432,0.00056039,0.00057849,0.00049016,0.00051281,0.00056934,0.00057543,0.00060147,0.0005916,0.00059997,0.00063291,0.00062413,0.00065027,0.00055129,0.00054857,0.00059969,0.00063285,0.00066616,0.00065163,0.00061706,0.00064025,0.00066256,0.00072838,0.0006023,0.00059406,0.00063699,0.00060145
PH_004,F0,0.00058275,0.00076575,0.00044586,0.0013207,0.00059954,0.00063313,0.00048398,0.00051955,0.0005719,0.00060027,0.00066729,0.00066019,0.00061686,0.00062667,0.00059122,0.000645,0.00057301,0.00061062,0.00063928,0.00067013,0.00071028,0.00066521,0.00065206,0.00066727,0.00072836,0.00076305,0.00061473,0.00061034,0.00061308,0.00061607
PH_005,F0,0.00049608,0.00076686,0.00040245,0.0015598,0.00054128,0.00053723,0.00042524,0.00045049,0.00049459,0.00053826,0.00054254,0.0005325,0.00057642,0.00059254,0.00057374,0.00059343,0.00050323,0.00054265,0.0005941,0.00059522,0.00065272,0.00065609,0.00057735,0.00061628,0.00071935,0.00067507,0.00053679,0.00055688,0.00058803,0.00059601
PH_006,F0,0.00048891,0.00065714,0.00042795,0.0012889,0.00057851,0.00058323,0.00044378,0.00046688,0.0005408,0.00054533,0.00061274,0.00062654,0.00058781,0.00059135,0.00060211,0.0006409,0.00052101,0.00056446,0.00060295,0.00059445,0.00066907,0.00065344,0.00063619,0.00060385,0.00062214,0.00060281,0.00058015,0.00055359,0.00061954,0.00062095
PH_007,F0,0.00052004,0.00074825,0.00042501,0.0013152,0.00058949,0.00058387,0.00046038,0.00043721,0.00055812,0.00055486,0.00063976,0.00063145,0.00058293,0.00058589,0.00061849,0.00064262,0.00055746,0.00060186,0.00058845,0.00062312,0.00067801,0.00066772,0.0006048,0.00061203,0.00064711,0.00065361,0.00056029,0.00056017,0.00058607,0.00055618
PH_008,F0,0.00049608,0.00068227,0.00037833,0.0016064,0.00058481,0.00058753,0.00045313,0.00048246,0.0006076,0.00061923,0.00063459,0.0006359,0.00059744,0.0006128,0.00056704,0.00060765,0.00051448,0.00055514,0.00061832,0.00068134,0.00070953,0.00071921,0.00062403,0.00061889,0.00066301,0.0007586,0.00055979,0.0005952,0.00065677,0.00065113
PH_009,F0,0.00052988,0.00074339,0.00041635,0.0011347,0.000599,0.00057819,0.00051756,0.00049759,0.00056953,0.00060504,0.00062563,0.0006355,0.00063525,0.00063502,0.00063449,0.00064169,0.00056833,0.00058228,0.00062415,0.00064923,0.00068769,0.00068719,0.00065372,0.00068432,0.00070239,0.00077602,0.00059487,0.00058299,0.00063922,0.00065471
PH_101,F0,0.00050498,0.00072511,0.00041575,0.0010334,0.0005991,0.00059828,0.00047495,0.00048777,0.00057548,0.00057485,0.00063905,0.0006283,0.00061514,0.0006296,0.00063015,0.00066634,0.00058055,0.00060955,0.00059811,0.00061858,0.00065913,0.0006618,0.00060228,0.00063033,0.00068657,0.00074118,0.00061642,0.00062259,0.00057918,0.0005702
PH_102,F0,0.0005985,0.00076308,0.00041515,0.0014904,0.00055313,0.00060146,0.00049706,0.0005172,0.00057804,0.00058251,0.00061504,0.00064387,0.00059139,0.00061667,0.00056479,0.00058388,0.00055831,0.00058149,0.00061953,0.00062624,0.00066891,0.0006699,0.00060352,0.00063811,0.00064229,0.00064785,0.00059124,0.00058506,0.00065201,0.00061946
PH_103,F0,0.00054811,0.0007386,0.000399,0.0012087,0.00057237,0.00055481,0.00043853,0.00045645,0.0005714,0.0006342,0.00062387,0.00061771,0.00058899,0.0005988,0.00057282,0.00059334,0.0005759,0.00057929,0.00064651,0.00065672,0.00072915,0.000731,0.00063583,0.00063452,0.0007326,0.00076943,0.00057332,0.00057447,0.00063437,0.00060762
PH_104,F0,0.00051636,0.00073291,0.00037399,0.0015447,0.00055642,0.00056513,0.00043729,0.00047289,0.00054792,0.00059553,0.00060163,0.00057622,0.00056487,0.00058409,0.00056705,0.00063536,0.0004722,0.00052003,0.00056707,0.00056831,0.00062851,0.00061606,0.00062657,0.00061443,0.00064243,0.00072399,0.00053419,0.00055163,0.00053366,0.0005488
PH_105,F0,0.00052081,0.0007302,0.0004291,0.0011808,0.00056764,0.00058097,0.00045045,0.00046431,0.00060392,0.00060256,0.00061098,0.00061771,0.0006051,0.0006387,0.0006656,0.00073024,0.00065107,0.00071099,0.00058711,0.00060371,0.00064589,0.00067773,0.00062315,0.00061381,0.00063941,0.00070899,0.00059839,0.00058545,0.00053909,0.00055934
PH_106,F0,0.00061959,0.00084534,0.00046198,0.0013419,0.00058943,0.00059888,0.00047239,0.0004734,0.00054391,0.00059889,0.00061363,0.00061631,0.00060468,0.00063186,0.0006203,0.00064883,0.00053687,0.00059436,0.00057549,0.00064008,0.00067307,0.00069792,0.00062105,0.00065018,0.0006721,0.00077568,0.00056745,0.0005935,0.00063725,0.00064278
PH_107,F0,0.00054564,0.00074868,0.00045869,0.0013575,0.00059543,0.00059338,0.00047211,0.00048719,0.00057535,0.00058176,0.00064359,0.00065283,0.00060466,0.00060366,0.00064652,0.00068047,0.00059578,0.00063561,0.00061935,0.00062909,0.00067398,0.00068981,0.00061101,0.00062213,0.00066446,0.00074443,0.00059679,0.00059386,0.00061542,0.00065113
PH_108,F0,0.00058118,0.00079088,0.00037673,0.0019922,0.00057708,0.00058589,0.00044078,0.00049805,0.00058524,0.00062491,0.00063206,0.00063177,0.00062163,0.00062323,0.00061648,0.00064925,0.00055081,0.00058966,0.00059729,0.00060976,0.00063884,0.00064882,0.00064399,0.00061939,0.00066039,0.00067781,0.00057955,0.00060859,0.00055006,0.0005886
PH_109,F0,0.00049879,0.00077006,0.00044242,0.0018761,0.00055361,0.00053385,0.00043152,0.00042647,0.00051603,0.00054593,0.00056036,0.00056836,0.00058252,0.00057334,0.00059066,0.00060648,0.00057825,0.00061773,0.00056858,0.0005987,0.00063204,0.00062849,0.00062452,0.00061483,0.00067212,0.00068778,0.00053094,0.00056745,0.00056339,0.00057318
PH_110,F0,0.00045173,0.00068897,0.0004052,0.00090769,0.00055973,0.00056005,0.00047022,0.00046134,0.00054124,0.00060049,0.00056556,0.00057369,0.00058466,0.00058764,0.00058743,0.00065188,0.00047411,0.00052322,0.00056019,0.00058781,0.00064676,0.00064754,0.00063322,0.00064669,0.00062711,0.00075929,0.00056758,0.0006082,0.00055851,0.00060977
PH_111,F0,0.00052553,0.00075765,0.00040784,0.0010841,0.00056856,0.00060003,0.00048105,0.00049174,0.00058204,0.00058281,0.00062663,0.00061872,0.00059516,0.00062697,0.00060092,0.00064907,0.00055448,0.00058398,0.00060798,0.00062131,0.00065337,0.00064791,0.00061189,0.00064266,0.00069843,0.0007126,0.00058839,0.00058282,0.00063491,0.00058525
PH_001,F1,0.00044488,0.00053966,0.00039359,0.00085914,0.0005421,0.00056365,0.00046785,0.00047188,0.00055799,0.00054826,0.00058454,0.00057107,0.00055919,0.0005573,0.00057862,0.00058615,0.00052153,0.00054432,0.0006014,0.00059632,0.00065806,0.00063367,0.0005576,0.00056833,0.00058798,0.00062297,0.00056241,0.00055658,0.00059336,0.00057773
PH_002,F1,0.00057169,0.00078971,0.00051064,0.001475,0.00056746,0.00055017,0.00049712,0.00050363,0.00065167,0.00067494,0.00063321,0.00065215,0.00065223,0.00064462,0.00072213,0.00078024,0.00061773,0.00067334,0.00069129,0.00074303,0.00071739,0.00069832,0.00067945,0.0006994,0.00067802,0.00076902,0.00064394,0.0006563,0.00062317,0.00067098
PH_003,F1,0.00048433,0.00066435,0.00039402,0.00081327,0.00056393,0.00055556,0.00047786,0.0004947,0.00052021,0.00058434,0.00061256,0.00063252,0.00057823,0.00059736,0.00057955,0.00062024,0.00052505,0.00056345,0.00055104,0.00060951,0.00063877,0.00065639,0.00060432,0.00062226,0.0005905,0.00067189,0.0005742,0.00061,0.0005823,0.00058179
PH_004,F1,0.00055908,0.00075474,0.0004294,0.0012222,0.0006002,0.00057615,0.00047235,0.00048193,0.00056212,0.00059985,0.00065728,0.00066239,0.00059463,0.00062555,0.00059213,0.00063853,0.00060229,0.00061856,0.00063285,0.00064859,0.00068046,0.00067284,0.00064802,0.00069048,0.00073771,0.00076003,0.00059119,0.00059491,0.00061398,0.00060178
PH_005,F1,0.00056005,0.00077496,0.00044934,0.0014737,0.00055469,0.0005637,0.00044283,0.000471,0.00051426,0.0005614,0.00057549,0.00056013,0.00057984,0.00059076,0.00056291,0.00062391,0.00052257,0.00058655,0.000568,0.00059008,0.00065861,0.0006703,0.00059699,0.00063741,0.00069626,0.00070952,0.00054447,0.00056754,0.00058023,0.00056651
PH_006,F1,0.00046531,0.00063177,0.00041769,0.0012149,0.00055954,0.00058228,0.00043524,0.00046447,0.00052806,0.00055448,0.00058311,0.00061243,0.00056514,0.00056864,0.00058984,0.00063293,0.00052215,0.00058168,0.00059674,0.00059809,0.00065212,0.00064717,0.00061531,0.00059849,0.00060088,0.00059301,0.00056812,0.00055839,0.0006288,0.000631
PH_007,F1,0.00052026,0.00078648,0.00044604,0.0012233,0.00059216,0.00058767,0.00043162,0.00044244,0.00054122,0.00055321,0.0006359,0.00062258,0.00054251,0.00056416,0.00059128,0.00063747,0.00054762,0.00060654,0.00060837,0.00061996,0.00064406,0.00065345,0.00061069,0.00060162,0.00065769,0.00067219,0.00054118,0.00055382,0.00055078,0.00058091
PH_008,F1,0.00051743,0.00073452,0.00040453,0.0015412,0.00058908,0.00060944,0.00045845,0.00054211,0.00063202,0.00063661,0.00064447,0.00066474,0.00060381,0.00064753,0.00056744,0.00063263,0.00051194,0.00058317,0.00063762,0.00069735,0.00071392,0.00072339,0.00065404,0.0006776,0.00065055,0.00075321,0.00056389,0.00063193,0.00064237,0.00063055
PH_009,F1,0.0005341,0.00070327,0.00041914,0.0010725,0.00058866,0.0005766,0.00050739,0.00049662,0.00055029,0.00058247,0.00061833,0.00061909,0.000595,0.0005895,0.0006175,0.00064667,0.00053301,0.00056271,0.00060178,0.00064583,0.00068337,0.00066351,0.00064211,0.00064776,0.00064174,0.0007124,0.00058674,0.00057536,0.00061592,0.00061677
PH_101,F1,0.00050466,0.0006914,0.00043412,0.0010241,0.00056657,0.00058301,0.00048905,0.00049188,0.00060536,0.00059902,0.00063965,0.00063646,0.00059101,0.00062348,0.00065243,0.00066403,0.0006195,0.0006537,0.0006146,0.00066711,0.00065308,0.00065118,0.0006181,0.0006002,0.0007194,0.00080832,0.00062217,0.00062512,0.00065495,0.00061037
PH_102,F1,0.00057564,0.00077581,0.00043007,0.0014567,0.00054319,0.00055915,0.00049131,0.00051986,0.00057199,0.00058197,0.00061378,0.00064299,0.00060654,0.00060409,0.00057736,0.00058716,0.00056939,0.00056847,0.00062071,0.00060915,0.00067785,0.00065252,0.00062353,0.00067019,0.00066572,0.00067926,0.00062395,0.00059281,0.00061966,0.00065945
PH_103,F1,0.00057294,0.00075716,0.00040168,0.0012668,0.00057888,0.00061065,0.00043986,0.00045874,0.00056545,0.00061114,0.00064184,0.0006398,0.00058171,0.00059911,0.00058779,0.00059053,0.00056518,0.00057461,0.00064942,0.00067169,0.00074553,0.00076294,0.00063794,0.00064019,0.00073509,0.00073635,0.00057329,0.00057133,0.00063254,0.00062605
PH_104,F1,0.00052533,0.0007207,0.00036068,0.0014805,0.00055392,0.00058791,0.00044975,0.00051508,0.00051902,0.00061852,0.00061391,0.00061533,0.00057729,0.00059516,0.00054249,0.00064003,0.00047785,0.00054293,0.00057441,0.00060559,0.0006341,0.00064162,0.00065214,0.00064901,0.00064203,0.00076074,0.00052374,0.00059387,0.00054466,0.00057692
